id,Co(tapp)_precursor,TPA_substitution,Acid_pKa,Additive,Solvent2,solvent_1_name,Vessel,Degas,Temp_degC,TPA_eq,H2O_per_TPA,TAPP_conc_mM,Acid_conc_M,Solvent2_fraction,m-DNB,main_product
KE-226,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.4932634730538923,60.0,20.0,1.2,0.25037481259370314,False,MOCOF-1
KE-227,Co(tdpp),none,7.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9910179640718564,45.0,20.0,0.6,0.25037481259370314,False,MOCOF-1
KE-228,Co(tdpp),none,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9910179640718564,45.0,18.0,1.1,0.25037481259370314,True,MOCOF-1
KE-229,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9910179640718564,45.0,18.0,1.2,0.25037481259370314,True,Co(tapp)
KE-230,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,18.0,1.1,0.25037481259370314,True,Co(tapp)nXm
KE-231,Co(tdpp),(OMe)2,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9910179640718564,45.0,18.0,1.1,0.25037481259370314,True,MOCOF-1
KE-232,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9363772455089823,89.87978353304986,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-233,Co(tdpp),(OMe)2,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.8884730538922156,89.74038842647641,18.0,0.6,0.25037481259370314,True,MOCOF-1
KE-234,Co(tdpp),C8H6O4,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0411676646706587,89.94609460946094,18.0,1.1,0.25037481259370314,True,Co(tapp)nXm
KE-254,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.52781954887218,35.603807257584776,20.0,1.2,0.25080906148867316,True,Co(tapp)
KE-258,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,150.0,2.0,67.5,20.0,1.2,0.25080906148867316,True,Co(tapp)
KE-259,Co(tdpp),(OMe)2,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,150.0,1.0079422382671481,85.74498567335243,20.0,1.3,0.25080906148867316,True,Co(tapp)nXm
KE-260,Co(tapp),none,11.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.8433818433818434,22.5,22.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-261,Co(tapp),none,11.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9821162444113265,22.5,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-266,Co(tdpp),none,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0796992481203005,43.275488069414315,20.0,0.6,0.25080906148867316,True,Co(tapp)nXm
KE-267,Co(tdpp),none,7.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.950375939849624,46.14494988434849,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-268,Co(tdpp),none,10.8,none,none,"1,4-dioxane",Schlenk bomb,True,120.0,3.0436090225563905,29.5701581027668,20.0,1.2,0.0,True,Co(tapp)
KE-272,Co(tdpp),none,10.8,none,none,"1,4-dioxane",Schlenk bomb,True,120.0,1.0242468772961058,42.93400286944046,20.0,0.6,0.0,True,MOCOF-1
